slice_denominator,slice_of_pi,phase_turns,counting_qubits,N_phase,ideal_modes_y,mode_circular_error,expected_circular_error
1,1.0,0.5,4,8.0,8,0.0,9.83350087105731e-33
2,0.5,0.25,4,4.0,4,0.0,9.83350087105731e-33
3,0.3333333333333333,0.16666666666666666,4,2.6666666666666665,3,0.02083333333333337,0.046091175652367505
4,0.25,0.125,4,2.0,2,0.0,9.83350087105731e-33
5,0.2,0.1,4,1.6,2,0.025000000000000022,0.05358908260991892
6,0.16666666666666666,0.08333333333333333,4,1.3333333333333333,1,0.020833333333333315,0.04609117565236738
7,0.14285714285714285,0.07142857142857142,4,1.1428571428571428,1,0.008928571428571397,0.01604764724846601
8,0.125,0.0625,4,1.0,1,0.0,9.83350087105731e-33
9,0.1111111111111111,0.05555555555555555,4,0.8888888888888888,1,0.00694444444444442,0.011438887004983094
10,0.1,0.05,4,0.8,1,0.012499999999999956,0.02518201092973166
11,0.09090909090909091,0.045454545454545456,4,0.7272727272727273,1,0.017045454545454586,0.0371353772554308
12,0.08333333333333333,0.041666666666666664,4,0.6666666666666666,1,0.02083333333333337,0.04609117565236752
13,0.07692307692307693,0.038461538461538464,4,0.6153846153846154,1,0.024038461538461564,0.0521354316307286
14,0.07142857142857142,0.03571428571428571,4,0.5714285714285714,1,0.0267857142857143,0.0557861064831957
15,0.06666666666666667,0.03333333333333333,4,0.5333333333333333,1,0.029166666666666674,0.05761950594422151
16,0.0625,0.03125,4,0.5,0;1,0.03125,0.058136928916315236
